id,code,brand,category,short_description,description,severity,diy_possible,source,last_verified_at,scrape_status,linked_product_codes,article_exists,en_exists,sv_exists,classification,recommended_action,blocking_issues
583,5E3,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
584,HE,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
585,HE1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
586,HE2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
587,HEX,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
589,DE1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
590,DE2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
597,2E,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
607,F4,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
630,CE/3E,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
631,HEAVYLED,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
632,DR,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
636,F1,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
637,F5,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
649,F2,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
650,F3,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
653,F6,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
654,F7,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
655,F8,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
656,F9,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
657,TH,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
669,F1-F9,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
745,E5,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
747,BD,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
758,BO,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
759,1DC4,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
760,HC,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
761,HC1,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
762,TYPE1,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,C,exclude_and_investigate,suspect_code_shape;missing_description;not_verified;no_official_samsung_source
763,TYPE2,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,C,exclude_and_investigate,suspect_code_shape;missing_description;not_verified;no_official_samsung_source
768,OE,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
769,DEZ,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
773,SEE,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
853,AE,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
854,CE1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
855,CE2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
859,HE3,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
